ucid,capability,domain,use_case,definition,requirement,user_story,kpi,status
200,Boarding Decisioning,Boarding,Auto-Boarding & Conditions Engine,Boards eligible files inside pre-set limits and issues the conditions.,1. Evaluate the scored file against auto-board eligibility criteria and thresholds.,Merchant going live: I want to see the limits and conditions I am accepting,Auto-approval rate; Time to approve; Onboarding,New — proposed
201,Knowledge Base,Knowledge,Requirement Rules & Thresholds Registry,"The single place rules, evidence and thresholds are maintained.","1. Define requirement rules by vertical, segment, business model, region and product.",Policy owner: I want to change a requirement rule once and have every in-,Auto-approval rate; Time to approve; First Onboarding,New — proposed
202,Boarding Merchant Experience,Boarding,Merchant Guidance & Remediation,Turns each shortfall into guidance the merchant can act on.,1. Assess the submission against thresholds and identify each shortfall.,Merchant with a gap: I want to fix or explain a shortfall before a decision is,First contact resolution; Customer satisfaction; Onboarding,New — proposed
203,Boarding Merchant Analysis,Intake,Credit Review,"Financial strength, settlement risk and the exposure limits that follow.",1. Assess financial strength from submitted and third-party financial data.,"Credit: I want exposure and reserve set from real financial and delivery risk,",Regrettable loss rate; Time to approve Onboarding,New — proposed
204,Boarding Merchant Experience,Boarding,Merchant Onboarding Assistant,"A grounded assistant across every stage of onboarding, answering in the","1. Answer merchant questions about their own application, requirements and status.","Merchant, mid-application: I want to ask a question and get a straight answer",First contact resolution; Customer satisfaction; Onboarding,New — proposed
205,Knowledge Base,Knowledge,System & Database Connectivity,"Registered, monitored, two-way connections to every internal database and",1. Maintain a registry of every source system and what each is authoritative for.,"Boarding product owner: I want to consume rules, classification and",Analyst hours per case; Time to approve Knowledge Base,New — proposed
206,Knowledge Base,Knowledge,Third-Party Vendor Gateway,"One integration point to every vendor — normalised, cached, metered and",1. Provide a single integration point for all third-party data vendors.,"Vendor management: I want vendor calls cached, metered and attributed, so",Time to approve; Analyst hours per case Knowledge Base,New — proposed
207,Knowledge Base,Knowledge,Unstructured Document Repository,"Users upload, organise and curate their own documents — queryable like","1. Allow users to upload, organise and tag unstructured documents themselves.",Knowledge owner: I want to upload and organise my own documents and,Analyst hours per case Knowledge Base,New — proposed
208,Knowledge Base,Knowledge,User Management & Access Control,"Roles, entitlements, scoping and segregation of duties, with recertification.",1. Define roles and entitlements for every knowledge base function.,"Audit & assurance: I want to know who saw what, when, and what changed,",Knowledge Base,New — proposed
209,Knowledge Base,Knowledge,Document Lifecycle Management,"State model, retention, review, archival, legal hold and evidenced disposal.",1. Assign a retention and review schedule to every document type.,"Reviewer: I want a draft to approve when a policy or network rule changes,",Knowledge Base,New — proposed
210,Knowledge Base,Knowledge,Data Quality & Lineage,"Provenance, confidence, citation, freshness and conflict resolution.","1. Record the source, timestamp and method for every fact.",Risk analyst: I want to ask a question in plain language and get an answer that,False positive rate; Regrettable loss rate Knowledge Base,New — proposed
211,Knowledge Base,Knowledge,API & Event Fabric,"How other use cases consume the knowledge base: read, write, subscribe.",1. Expose read and write APIs for every knowledge base entity.,"Boarding product owner: I want to consume rules, classification and",Knowledge Base,New — proposed
212,Transaction Monitoring,Post-Boarding,Merchant-Level Aggregate Monitoring,The shape of the whole transaction stream against its own baseline and its peer,"1. Maintain a rolling baseline per merchant across volume, count and ticket.","Fraud analyst: I want the pattern across the stream, judged against",Regrettable loss rate; False positive rate Transaction Monitoring,New — proposed
300,AML & Compliance,Compliance,True Merchant Identification,Resolves the legal entity across fragmented identifiers with a confidence score.,"1. Reconcile identifiers across application, settlement, registry, vendor and prior case records.",Compliance analyst: I want one resolved merchant rather than eight vendor,"False positive rate; Analyst hours per case; AML, KYC & Compliance",New — proposed (extend: an ER programme for
301,AML & Compliance,Compliance,Beneficial Ownership (UBO) Graph,"Builds the ownership graph to three hops, reconciling registry and third-party","1. Build ownership to three hops; distinguish UBO, indirect beneficial owner and ultimate parent.","Analyst: I want ownership resolved before I start, so I am not building a family","Analyst hours per case; Regrettable loss rate AML, KYC & Compliance",New — proposed (extend: a registry provider
302,AML & Compliance,Compliance,KYB Registry & Identity Verification,Verifies the entity and its directors against company registries and identity,1. Verify entity and directors against the registry set applicable to the jurisdiction.,"Merchant: I want a failed automated check to lead somewhere, not to a dead","Time to approve; Auto-approval rate; First AML, KYC & Compliance",New — proposed (leverage: our registry
303,AML & Compliance,Compliance,Sanctions & PEP Screening,"Screens all parties against sanctions, PEP and watchlists with match","1. Screen every party — entity, directors, UBOs — not the entity alone.","Compliance analyst: I want to adjudicate plausible matches only, so my day is","False positive rate; Analyst hours per case AML, KYC & Compliance",New — proposed (extend: the screening platform;
304,AML & Compliance,Compliance,Adverse Media at Onboarding,Surfaces negative news on the entity and its owners before a boarding decision.,"1. Search entity, directors and UBOs before the boarding decision is taken.","Boarding analyst: I want the negative news that matters, scored, not a list of","False positive rate; Regrettable loss rate; Time AML, KYC & Compliance",New — proposed (leverage: the screening
306,AML & Compliance,Compliance,Continuous Sanctions Re-Screening,Re-screens parties as lists change — not only at boarding.,"1. Re-screen every party on list change, not on a schedule.","Compliance analyst: I want to be told what changed, not that a list refreshed.","False positive rate; Regrettable loss rate AML, KYC & Compliance",New — proposed (leverage: already occurs via the
312,AML & Compliance,Compliance,Source-of-Funds & EDD,Requests evidence and runs enhanced due diligence on elevated-risk,1. Define the EDD standard and required evidence by risk driver and jurisdiction.,"Analyst: I want the evidence in one case with its source attached, so I am","Analyst hours per case; Time to approve AML, KYC & Compliance",New — proposed (unify: four separate case and
313,AML & Compliance,Compliance,SAR Drafting & Filing,Auto-drafts the suspicious-activity narrative for human review and sign-off.,"1. Assemble the narrative from cited case evidence, with the source of every claim.","MLRO: I want to review and sign a drafted narrative with cited evidence, so","Analyst hours per case; First contact resolution AML, KYC & Compliance",New — proposed (unify: four separate case and
314,AML & Compliance,Compliance,Regulatory & Network Event Tracking,Captures regulatory findings and Visa / Mastercard programme notices as,1. Capture every regulatory finding and scheme programme notice as a tracked object.,Compliance: I want a scheme notice to be a tracked object with an owner and,"Regrettable loss rate; Analyst hours per case AML, KYC & Compliance",New — proposed (build: will need development)
